Project_name,Tool_name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25?
scikit-learn,Bandit,CWE-502,81,True
scikit-learn,Bandit,CWE-703,7251,False
scikit-learn,Bandit,CWE-377,1,False
scikit-learn,Bandit,CWE-22,9,True
scikit-learn,Bandit,CWE-330,3,False
scikit-learn,Bandit,CWE-78,22,True
scikit-learn,Bandit,CWE-400,7,True
scikit-learn,Bandit,CWE-94,1,True
scikit-learn,Bandit,CWE-327,1,False
scikit-learn,Bandit,CWE-259,4,False
scikit-learn,Semgrep,CWE-78,1,True
scikit-learn,Semgrep,CWE-502,11,True
scikit-learn,Semgrep,CWE-939,7,False
scikit-learn,Semgrep,CWE-79,3,True
scikit-learn,Semgrep,CWE-2,2,False
scikit-learn,Semgrep,CWE-6,1,False
scikit-learn,Semgrep,CWE-1,2,False
scikit-learn,Semgrep,CWE-706,6,False
scikit-learn,Semgrep,CWE-96,2,False
scikit-learn,Semgrep,CWE-95,5,False
deeplake,Bandit,CWE-89,1,True
deeplake,Bandit,CWE-259,1,False
deeplake,Bandit,CWE-703,36,False
deeplake,Bandit,CWE-22,1,True
deeplake,Bandit,CWE-400,2,True
deeplake,Bandit,CWE-502,2,True
deeplake,Semgrep,CWE-939,1,False
deeplake,Semgrep,CWE-502,2,True
flask,Bandit,CWE-703,1066,False
flask,Bandit,CWE-259,10,False
flask,Bandit,CWE-78,2,True
flask,Bandit,CWE-79,3,True
flask,Bandit,CWE-327,1,False
flask,Bandit,CWE-94,2,True
flask,Semgrep,CWE-3,8,False
flask,Semgrep,CWE-5,8,False
flask,Semgrep,CWE-2,8,False
flask,Semgrep,CWE-353,3,False
flask,Semgrep,CWE-95,2,False
flask,Semgrep,CWE-79,1,True
flask,Semgrep,CWE-327,1,False
Project_name,Tool_name,CWE_ID,Number_of_Findings,Is_In_CWE_Top_25
flask,codeql,079,8,No
flask,codeql,116,8,No
flask,codeql,209,3,No
flask,codeql,497,3,No
flask,codeql,1275,1,No
flask,codeql,614,1,No
flask,codeql,1004,1,No
flask,codeql,200,27,Yes
flask,codeql,390,2,No
flask,codeql,772,1,No
flask,codeql,561,30,No
flask,codeql,563,1,No
deeplake,codeql,359,1,No
deeplake,codeql,312,1,No
deeplake,codeql,532,1,No
deeplake,codeql,396,23,No
deeplake,codeql,390,18,No
deeplake,codeql,561,1,No
deeplake,codeql,200,68,Yes
deeplake,codeql,563,16,No
scikit-learn,codeql,022,1,No
scikit-learn,codeql,079,2,No
scikit-learn,codeql,200,447,Yes
scikit-learn,codeql,628,2,No
scikit-learn,codeql,396,2,No
scikit-learn,codeql,390,19,No
scikit-learn,codeql,570,6,No
scikit-learn,codeql,571,6,No
scikit-learn,codeql,561,101,No
scikit-learn,codeql,665,2,No
scikit-learn,codeql,685,6,No
scikit-learn,codeql,772,3,No
scikit-learn,codeql,563,322,No

